<<<<<<< HEAD
"","formatted_address","province","citycode","city","district","adcode","lng","lat","Name","geo","X.1"
"1","江苏省南京市栖霞区中山陵园风景区","江苏省",25,"NJ","栖霞区",320113,118.883375,32.07025,"南京中山陵园风景区","c(118.883375"," 32.07025)"
"2","江苏省南京市雨花台区雨花台景区","江苏省",25,"NJ","雨花台区",320114,118.781845,31.99783,"南京雨花台景区","c(118.781845"," 31.99783)"
"3","江苏省南京市秦淮区夫子庙秦淮风光带管理局","江苏省",25,"NJ","秦淮区",320104,118.788134,32.0211,"南京夫子庙秦淮风光带","c(118.788134"," 32.0211)"
"4","江苏省南京市鼓楼区阅江楼景区","江苏省",25,"NJ","鼓楼区",320106,118.747828,32.09437,"南京阅江楼景区","c(118.747828"," 32.09437)"
"5","江苏省南京市玄武区总统府景区","江苏省",25,"NJ","玄武区",320102,118.796031,32.04306,"南京总统府景区","c(118.796031"," 32.04306)"
"6","江苏省无锡市滨湖区太湖鼋头渚风景区","江苏省",510,"WX","滨湖区",320211,120.221047,31.52778,"无锡太湖鼋头渚风景区","c(120.221047"," 31.52778)"
"7","江苏省无锡市滨湖区灵山景区","江苏省",510,"WX","滨湖区",320211,120.100962,31.42693,"无锡灵山景区","c(120.100962"," 31.42693)"
"8","江苏省无锡市滨湖区三国水浒景区","江苏省",510,"WX","滨湖区",320211,120.234205,31.48068,"无锡三国水浒景区","c(120.234205"," 31.48068)"
"9","江苏省无锡市宜兴市善卷洞风景区","江苏省",510,"WX","宜兴市",320282,119.669598,31.29887,"宜兴善卷洞风景区","c(119.669598"," 31.29887)"
"10","江苏省无锡市","江苏省",510,"WX","list()",320200,120.31191,31.49116,"无锡锡惠园林文物名胜区","c(120.31191"," 31.49116)"
"11","江苏省徐州市泉山区淮海战役烈士纪念塔","江苏省",516,"XZ","泉山区",320311,117.197516,34.23357,"徐州淮海战役烈士纪念塔园林","c(117.197516"," 34.23357)"
"12","江苏省常州市天宁区天宁寺","江苏省",519,"CZ","天宁区",320402,119.969437,31.77426,"常州天宁寺","c(119.969437"," 31.77426)"
"13","江苏省常州市溧阳市天目湖旅游区","江苏省",519,"CZ","溧阳市",320481,119.42333,31.28121,"常州天目湖旅游区","c(119.42333"," 31.28121)"
"14","江苏省常州市","江苏省",519,"CZ","list()",320400,119.973987,31.81068,"常州环球恐龙城","c(119.973987"," 31.81068)"
"15","江苏省苏州市姑苏区拙政园","江苏省",512,"SZ","姑苏区",320508,120.629029,31.32416,"苏州拙政园","c(120.629029"," 31.32416)"
"16","江苏省苏州市姑苏区虎丘山风景名胜区","江苏省",512,"SZ","姑苏区",320508,120.581043,31.33594,"苏州虎丘风景名胜区","c(120.581043"," 31.33594)"
"17","江苏省苏州市虎丘区苏州乐园","江苏省",512,"SZ","虎丘区",320505,120.544241,31.29064,"苏州乐园","c(120.544241"," 31.29064)"
"18","江苏省苏州市昆山市周庄古镇","江苏省",512,"SZ","昆山市",320583,120.850993,31.11535,"苏州周庄古镇游览区","c(120.850993"," 31.11535)"
"19","江苏省苏州市吴江区同里","江苏省",512,"SZ","吴江区",320509,120.715858,31.15852,"苏州同里古镇游览区","c(120.715858"," 31.15852)"
"20","江苏省苏州市吴中区甪直","江苏省",512,"SZ","吴中区",320506,120.863056,31.2671,"苏州甪直古镇游览区","c(120.863056"," 31.2671)"
"21","江苏省苏州市常熟市尚湖风景区","江苏省",512,"SZ","常熟市",320581,120.690873,31.64611,"常熟虞山-尚湖风景区","c(120.690873"," 31.64611)"
"22","江苏省苏州市姑苏区盘门景区","江苏省",512,"SZ","姑苏区",320508,120.617312,31.28834,"苏州盘门景区","c(120.617312"," 31.28834)"
"23","江苏省苏州市吴中区西山景区","江苏省",512,"SZ","吴中区",320506,120.332541,31.15816,"苏州西山景区","c(120.332541"," 31.15816)"
"24","江苏省苏州市吴中区木渎","江苏省",512,"SZ","吴中区",320506,120.523483,31.25456,"苏州木渎古镇","c(120.523483"," 31.25456)"
"25","江苏省苏州市姑苏区狮子林","江苏省",512,"SZ","姑苏区",320508,120.629124,31.32105,"苏州狮子林","c(120.629124"," 31.32105)"
"26","江苏省苏州市姑苏区网师园","江苏省",512,"SZ","姑苏区",320508,120.633654,31.29802,"苏州网师园","c(120.633654"," 31.29802)"
"27","江苏省苏州市姑苏区留园","江苏省",512,"SZ","姑苏区",320508,120.592401,31.3154,"苏州留园","c(120.592401"," 31.3154)"
"28","江苏省南通市崇川区狼山","江苏省",513,"NT","崇川区",320602,120.88714,31.95025,"南通狼山旅游区","c(120.88714"," 31.95025)"
"29","江苏省南通市","江苏省",513,"NT","list()",320600,120.894291,31.98017,"南通濠河旅游区","c(120.894291"," 31.98017)"
"30","江苏省连云港市海州区花果山景区","江苏省",518,"LYG","海州区",320706,119.264168,34.64269,"连云港花果山景区","c(119.264168"," 34.64269)"
"31","江苏省连云港市连云区连岛旅游度假区","江苏省",518,"LYG","连云区",320703,119.45707,34.76388,"连云港连岛旅游度假区","c(119.45707"," 34.76388)"
"32","江苏省连云港市海州区孔望山风景区","江苏省",518,"LYG","海州区",320706,119.179207,34.56675,"连云港孔望山风景区","c(119.179207"," 34.56675)"
"33","江苏省扬州市邗江区瘦西湖风景区","江苏省",514,"YZ","邗江区",321003,119.414587,32.40707,"扬州瘦西湖风景区","c(119.414587"," 32.40707)"
"34","江苏省扬州市邗江区大明寺","江苏省",514,"YZ","邗江区",321003,119.412685,32.42005,"扬州大明寺","c(119.412685"," 32.42005)"
"35","江苏省镇江市润州区金山公园","江苏省",511,"ZJ","润州区",321111,119.41458,32.21858,"镇江金山公园","c(119.41458"," 32.21858)"
